Person ID,Inscription ID,Role,Notes
fl_zenophilos,481,Honorand,
emperor_verus,482,Honorand,
emperor_verus,483,,
emperor_verus,484,,
emperor_verus,503,,
emperor_verus,486a,Honorand,
unc_ail,482,Sponsor,
t_kl_hierophant_alkibiadou,483,Honorand,
t_fl_alkibiades_2,483,,
t_leosthenes,483,,
f_fl_alkibiades_1,483,,
fl_eisidora,483,,
fl_herakleitos,483,,
domitia_laodameia,483,,
krateros,483,,
m_aur_miltiades,485,Honorand,
agothokles_marathonios,485,Sponsor,
t_fl_euthykomas_1,487,Honorand,
t_fl_euthykomas_1,488,,
t_fl_straton_2,487,,
t_fl_straton_1,487,,
fl_unc_krateia,487,,
pompeia_polla,487,,
pompeia_polla,488,Sponsor,
pompeius_pleistarkhos,487,,
t_fl_menandros_paianieus,488,Honorand,
fl_xenion,489a,,
emperor_severus,489a,,
m_iul_apellas,490,Honorand,
m_iul_damianos,490,,
fl_apella_hypaipenou,490,,
fl_polla,490,,
fl_xenion,491,Honorand,
iul_apollodotos_meliteus,492,Honorand,
iul_theodotos,492,,
iul_theodotos,493,Sponsor,
ail_kephisodora,492,,
ail_kephisodora,493,Honorand,
kl_lysiades,492,,
kl_lysiades,493,,
iul_kephisodora,493,Sponsor,
m_praxis,495,Sponsor,
unc_emperor_6,499,,
iun_melitine,501,Honorand,
isidote_eisaiou,502,Honorand,
eisaios_1,502,,
eisaios_2,502,,
emperor_commodous,502,,
emperor_commodous,503,,
emperor_commodous,513,,
emperor_commodous,514,,
l_memmius_altar_priest,493,,
l_memmius_altar_priest,503,Honorand,
fl_amphikles,504,,
lucilla,506,Honorand,
faustina,507,Honorand,
faustina,508,Honorand,
sabina,509,Honorand,
faustina_2,510,Honorand,
praxagora_demostratou,511,Honorand,
t_kl_demostratos_sospidou,511,,
ail_philiste_praxagorou,511,,
ail_philiste_praxagorou,512,Sponsor,
io_hierophantes,514,,
aiolion_phlyeos,514,,
ail_leu_palleneus,514,,
demosthenes_anthou,514,,
attikos_anthou,514,,
unc_iteles_,514,,
unc_lo,514,,
unc_ai_f,514,,
unc_hiero,514,,
