Inscription: IE,Inscription: Title,Inscription: Object Type,Inscription: Type,Inscription: Suspected Ancient Location,Inscription: Date (Avg.),Inscription: Date Span,Inscription: Letter Height (m),Public Sponsors,Inscription: Notes
483,"Statue Base T. Fl. Hierophantes Paianieus, Son of T. Fl. Alkibiades",Base,Dedication,Before the Telestrion,167.0,10,0.0130,"Areopagus, Boule, & Demos",
484,"Dedicatory Verse in Honor of Herodes Attikos, Not from the Sanctuary",Base,Verse,,162.0,0,0.0200,,
485,"Statue Base for M. Aur. Miltiades, Son of Agathokles of Marathon, Hearth-Initiate",Base,Dedication,,165.0,10,,,
486,"Statue Base for the Savior Gods/Godesses of Brotherly Emperors, Dedicated by the Polis during the Epimelitea of Herodes",Base,Dedication,,171.0,10,0.0920,"Areopagus, Boule, & Demos",
486,"Statue Base for the Savior Gods/Godesses of the Brotherly Emperors, Dedicated By the Polis During the Epimelitea of Herodes",Base,Dedication,,171.0,10,0.0920,"Areopagus, Boule, & Demos",
487,Statue Base for T. Fl. Euthykomas Paianieus,Altar,Dedication,,166.0,10,0.0270,Areopagus,
488,Statue Base for T. Fl. Menandros Paianieus,Stele,Dedication,South Wall,166.0,10,0.0370,Areopagus,
490,"Statue Base for M. Iul. Apellas Marathonios, Archon of the Eumolpidai",Altar,Dedication,Before the Telestrion,170.0,10,0.0280,Areopagus,
491,"Statue Base for Fl. Xenion of Marathon, Archon of the Panhellenes",Altar,Dedication,,170.0,10,0.0140,,
492,"Statue Base for Iul. Theodotos Meliteus, Son of Sophist Iul. Theodotos, Archon of the Kerykex",Altar,Dedication,Before the Telestrion,170.0,10,0.0290,"Areopagus, Boule, & Demos",
493,"Statue Base for Ael. Kephisodora, Daughter of Daduch Kl. Lysiades",Building or Monument,Dedication,,170.0,10,0.0250,Areopagus,
494,Herm Honoring the Hierophant who Saved the Hiera During the Kostoboci Invasion,Building or Monument,Dedication,,176.0,10,0.0090,,
495,Statue Base for M. Aurelius,Base,Dedication,Before the Telestrion,173.5,3,0.0370,,
496,Statue Base for M. Aurelius,Base,Dedication,Outer Courtyard,176.0,8,0.0460,,
497,Statue Base for M. Aurelius(?),Building or Monument,Dedication,,176.0,8,0.0450,,
498,"Statue Base for Asklepios, Dedicated by Herodes",Building or Monument,Dedication,,175.0,0,0.0270,,
499,Dedicatory Architrave of the Greater Propylaea,Building or Monument,Dedication,,175.0,10,0.2225,,
500,Aedicula Block with Hierophant's Title,Base,Dedication,Outer Courtyard,175.0,10,0.0950,,
501,"Statue Base for Iun. Melitine, Hierophantis",Base,Dedication,,187.5,25,0.0270,,
502,"Statue Base for Isidote, Daughter of Isaios, Hierophantes",Base,Dedication,Before the Telestrion,184.0,16,0.0200,,
