Inscription: IE,Inscription: Title,Inscription: Object Type,Inscription: Type,Inscription: Suspected Ancient Location,Inscription: Date (Avg.),Inscription: Date Span,Inscription: Letter Height (m),Areopagus Sponsor,Boule Sponsor,Demos Sponsor,Inscription: Notes
499,Dedicatory Architrave of the Greater Propylaea,Building or Monument,Dedication,,175.0,10,0.2225,False,False,False,
500,Aedicula Block with Hierophant's Title,Base,Dedication,Outer Courtyard,175.0,10,0.0950,False,False,False,
501,"Statue Base for Iun. Melitine, Hierophantis",Base,Dedication,,187.5,25,0.0270,False,False,False,
502,"Statue Base for Isidote, Daughter of Isaios, Hierophantes",Base,Dedication,Before the Telestrion,184.0,16,0.0200,False,False,False,
503,"Statue Base for L. Memmios, Altar-Priest, of Thorikos",Other/Fragment,Dedication,Before the Telestrion,178.5,3,0.0250,True,True,True,
504,Dedicatory Base for the Aparkhe,Base,Dedication,North of the Telesterion,183.0,12,0.0280,False,False,False,
505,Statue Base for the Deified M. Aurelius,Base,Dedication,Outer Courtyard,181.0,2,0.0765,False,False,False,
506,"Statue Base for Lucilla, Daughter of M. Aurelius",Base,Dedication,Outer Courtyard,181.0,2,0.0600,False,False,False,
507,"Statue Base for Deified Faustina, Wife of M. Aurelius",Base,Dedication,,181.0,2,0.1000,False,False,False,
508,"Statue Base of Deified Faustina, Wife of M. Aurelius",Base,Dedication,Outer Courtyard,181.0,2,0.0850,False,False,False,
509,"Statue Base for Sabina, Daughter of M. Aurelius",Base,Dedication,Outer Courtyard,181.0,2,0.0575,False,False,False,
510,"Statue Base for Faustina, Daughter of M. Aurelius",Base,Dedication,Outer Courtyard,181.0,2,0.0600,False,False,False,
511,"Statue Base for Praxagora, Daughter of Demostratos of Melite, Hearth-Initiate",Base,Dedication,Before the Telestrion,182.5,5,0.0240,False,False,False,
512,Statue Base for Unknown Dedicated by Ael. Philiste,Base,Dedication,,182.5,5,0.0310,False,False,False,
513,Letter by the Emperor Commodus to the Athenians Concern the Archonship of the Eumolpidai,Base,Epistle,,186.5,7,0.0180,False,False,False,
514,Catalog of the Prytaneis of the Tribe of Antiokhis,Stele,Other/Uncertain,South Wall,191.0,10,0.0110,False,False,False,
515,"Statue Base for the Hierophant who Saved the Hiera During the Kostoboki Invasion, Probably Not from the Sanctuary",Base,Dedication,,196.0,10,0.0420,False,False,False,
516,Statue Base for the Hierophant who Saved the Hiera During the Invasion of the Kostoboki.,Column/Herm,Dedication,North of the Telesterion,196.0,10,0.0265,False,False,False,
517,Statue Base(?) for an Unknown Individual,Base,Dedication,,202.0,18,0.0290,False,False,True,
518,Based Dedicated in Honor of the Emperor Septimius Severus and the Empress Iul. Domna,Base,Dedication,,196.5,3,0.0230,False,False,False,
519,Statue Base for the Empress Iul. Domna,Base,Dedication,,196.5,3,,True,True,True,
520,"Statue Base for Kl. Themistokleia, Daughter of the Daduch Kl. Philippos, Hearth-Initiate",Base,Dedication,,187.5,25,0.0300,False,False,False,
521,"Statue Base for Kl. Menandra, Daughter of Kl. Philippos",Base,Dedication,,187.5,25,0.0350,False,False,False,
522,"Statue Base for Nikostrate Menneou Berenikidou, Hearth-Initiate",Base,Dedication,,187.5,25,0.0220,True,False,True,
523,"Statue Base for Ael. Epilampsis, Daughter of Ael. Gelos of Phaleron, Priestess of Demeter and Kore",Other/Fragment,Dedication,Before the Telestrion,187.5,25,0.0160,False,False,False,
524,Statue Base for an Unknown Daughter of T. Fl. Leosthenes of Paiania,Base,Dedication,,187.5,25,0.0170,False,False,False,
525,Base Dedicated by an Unknown Party,Base,Dedication,,187.5,25,0.0200,False,False,False,
526,List of Men and WOmen,Base,Other/Uncertain,,150.5,99,0.0090,False,False,False,
527,"Dedication by Neokleides, Victor in the Eleusinia",Base,Dedication,,150.5,99,0.0120,False,False,False,
528,Herm Honoring Demetrios Apolloniou Marathonios,Base,Dedication,,150.5,99,0.0200,True,False,False,
529,Herm Honoring Demetrios Apolloniou Marathonios,Base,Dedication,,150.5,99,,True,False,False,
530,"Relief Dedicated by Alkamenes, Pyrphoros",Base,Dedication,,150.5,99,0.0085,False,False,False,
531,Statue Base for an Unknown Exegete of the Eumolpidai,Base,Dedication,Before the Telestrion,150.5,99,0.0195,False,False,False,
532,Dedicatory Base for the Aparkhe,Base,Dedication,Outer Courtyard,150.5,99,0.0360,False,False,False,
533,Statue Base for an Unknown High-Priest,Base,Dedication,,150.5,99,0.0150,False,False,False,
534,Statue Base for an Unknown [-]mmios,Base,Dedication,,150.5,99,0.0180,False,False,False,
535,Statue Base for a Hearth-Initiate,Base,Dedication,,150.5,99,0.0280,False,False,False,
536,"Statue Base for Lolliane, Daughter of Glaukos",Base,Dedication,,150.5,99,0.0295,False,False,False,
537,Statue Base for an Unknown Individaul,Base,Dedication,,150.5,99,0.0120,False,False,False,
538,Statue Base(?) for an Unknown Individual,Base,Dedication,,150.5,99,0.0260,False,False,False,
539,Statue Base for an Unknown Individual,Base,Dedication,,150.5,99,0.0300,True,True,True,
540,Statue Base for an Unknown Individual,Base,Dedication,,150.5,99,0.0260,False,False,False,
541,Statue Base for an Unknown Individual,Base,Dedication,,150.5,99,0.0250,False,False,False,
542,Statue Base for an Unknown Individual,Altar,Dedication,,150.5,99,0.0340,False,False,False,
543,Statue Base for an Unknown Klaudios,Base,Dedication,,150.5,99,0.0260,False,False,False,
544,Statue Base for an Unknown Exegete,Base,Dedication,,150.5,99,0.0345,False,False,False,
545,Statue Base for an Unknown Exegete of the Eumolpidai,Base,Dedication,,150.5,99,0.0330,False,False,False,
546,Statue Base for Praxagoras of Melite,Base,Dedication,,150.5,99,0.0220,False,False,False,
547,Statue Base(?) for an Unknown Individual,Base,Dedication,,150.5,99,0.0220,False,False,False,
548,Statue Base for an Unknown Individual,Base,Dedication,,150.5,99,0.0230,False,False,False,
549,Statue Base for an Unknown Priestess of Demeter and Kore,Base,Dedication,,150.5,99,0.0300,False,False,False,
550,Statue Base for an Unknown Exegete(?) of the Eumolpidai,Base,Dedication,,150.5,99,0.0500,False,False,False,
551,Large Monument in Honor of an Unknown Hearth-Initiate,Base,Dedication,,150.5,99,0.0430,False,False,False,
552,Regulation(?) Concerning Dedications in the Sanctuary,Column/Herm,Edict/Regulation,,150.5,99,0.0330,False,False,False,
553,Measuring Table,Base,Other/Uncertain,,150.5,99,0.0255,False,False,False,
