Feature: Type,Feature: Details,Inscription: IE,Inscription: Order,Inscription: Title,Inscription: Object Type,Inscription: Type,Inscription: Suspected Ancient Location,Inscription: Date (Avg.),Inscription: Date Span,Inscription: Letter Height (m),Inscription: Letter Height Averaged,Inscription: Language,Inscription: Character Count,Inscription: Diplomatic Character Count,Inscription: Word Count,Inscription: Diplomatic Word Count,Inscription: Total Institutions,Inscription: Total Honors,Inscription: Total People,Inscription: Total Sponsors,Inscription: Total Honorands,Inscription: Total Athenians,Inscription: Total Romans,Inscription: ID,Inscription: Low Date,Inscription: Low Date Uncertainty,Inscription: High Date,Inscription: High Date Uncertainty,Inscription: Notes,Feature: Uncertainty,Feature: Notes
Bronze Cuttings,,333,76,Statue Base for Menandros Asklepiodotou Gargettios,Base,Dedication,Before the Telestrion,20.0,10,0.0220,,Greek,119,85,30,19,0,1,1,0,1,1,0,333,15,True,25,True,,,
No Abbreviation,,334,77,Monument for Emperor Tiberius,Base,Dedication,,20.0,10,0.0450,,Greek,225,129,52,29,3,2,3,3,1,2,1,334,15,True,25,True,,,
"At Site, Moved in Modernity",,334,77,Monument for Emperor Tiberius,Base,Dedication,,20.0,10,0.0450,,Greek,225,129,52,29,3,2,3,3,1,2,1,334,15,True,25,True,,,
Emphasis with Interpunct or Vacat,,334,77,Monument for Emperor Tiberius,Base,Dedication,,20.0,10,0.0450,,Greek,225,129,52,29,3,2,3,3,1,2,1,334,15,True,25,True,,,
Emphasis with Interpunct or Vacat,,335,78,Monument for Iulia Augusta,Other/Fragment,Dedication,,25.0,10,0.0450,,Greek,247,21,62,13,3,2,5,3,1,3,2,335,20,False,30,False,,,
No Abbreviation,,335,78,Monument for Iulia Augusta,Other/Fragment,Dedication,,25.0,10,0.0450,,Greek,247,21,62,13,3,2,5,3,1,3,2,335,20,False,30,False,,,
Adoptive and Natural Parents Recorded,,335,78,Monument for Iulia Augusta,Other/Fragment,Dedication,,25.0,10,0.0450,,Greek,247,21,62,13,3,2,5,3,1,3,2,335,20,False,30,False,,,
No Abbreviation,,336,79,Statue Base for a Priest of Tiberius and Exegete of the Eumolpidai,Base,Dedication,,25.0,10,0.0240,True,Greek,119,49,38,22,1,1,1,0,0,0,1,336,20,True,30,True,,,
Missing,,337,80,Statue Base for an Unknown Exegete,Base,Dedication,,25.0,10,0.0290,True,Greek,38,11,11,5,1,1,1,0,0,0,1,337,20,True,30,True,,,
No Abbreviation,,338,81,Statue Base for Unknown,Base,Dedication,,25.0,10,0.0235,True,Greek,26,15,11,7,0,0,1,0,0,0,1,338,20,True,30,True,,,
"At Site, Moved in Modernity",,341,84,Epistyle of Building Dedicated by the Priestess Kleo Eukleous of Phyla,Base,Dedication,,45.0,40,0.0350,,Greek,175,60,41,16,1,3,2,0,0,2,0,341,25,True,65,True,,,
Adoptive and Natural Parents Recorded,,341,84,Epistyle of Building Dedicated by the Priestess Kleo Eukleous of Phyla,Base,Dedication,,45.0,40,0.0350,,Greek,175,60,41,16,1,3,2,0,0,2,0,341,25,True,65,True,,,
Altered or Recut,,342,85,Monument Dedicated by the Priestess Kleo Eukleous of Phyla,Base,Dedication,,45.0,40,0.0520,,Greek,64,15,16,5,0,1,2,0,0,2,0,342,25,True,65,True,,,
Adoptive and Natural Parents Recorded,,342,85,Monument Dedicated by the Priestess Kleo Eukleous of Phyla,Base,Dedication,,45.0,40,0.0520,,Greek,64,15,16,5,0,1,2,0,0,2,0,342,25,True,65,True,,,
Front of Telesterion,,344,87,"Statue Base for Polycharmos Eukleous Marathonios, High Priest of Tiberius",Base,Dedication,Before the Telestrion,33.5,7,0.0300,,Greek,185,174,36,30,0,3,4,1,1,3,1,344,30,True,37,True,,,
No Abbreviation,,344,87,"Statue Base for Polycharmos Eukleous Marathonios, High Priest of Tiberius",Base,Dedication,Before the Telestrion,33.5,7,0.0300,,Greek,185,174,36,30,0,3,4,1,1,3,1,344,30,True,37,True,,,
"At Site, Moved in Modernity",,344,87,"Statue Base for Polycharmos Eukleous Marathonios, High Priest of Tiberius",Base,Dedication,Before the Telestrion,33.5,7,0.0300,,Greek,185,174,36,30,0,3,4,1,1,3,1,344,30,True,37,True,,,
Missing,,345,88,Statue Base for Titus Statilius Lamprias,Base,Dedication,,43.0,10,,,Greek,100,97,24,22,3,0,1,3,1,0,1,345,38,False,48,False,,,
No Abbreviation,,345,88,Statue Base for Titus Statilius Lamprias,Base,Dedication,,43.0,10,,,Greek,100,97,24,22,3,0,1,3,1,0,1,345,38,False,48,False,,,
No Abbreviation,,347,90,"Statue Base for P. Papinus Statius, Dedicated by the Areopagus",Base,Dedication,,50.0,50,0.0215,True,Greek,85,68,29,17,2,0,1,2,1,0,1,682,25,False,75,False,,,
"Cuttings for Staff, Torch, or Other",,347,90,"Statue Base for P. Papinus Statius, Dedicated by the Areopagus",Base,Dedication,,50.0,50,0.0215,True,Greek,85,68,29,17,2,0,1,2,1,0,1,682,25,False,75,False,,True,
Bronze Cuttings,,347,90,"Statue Base for P. Papinus Statius, Dedicated by the Areopagus",Base,Dedication,,50.0,50,0.0215,True,Greek,85,68,29,17,2,0,1,2,1,0,1,682,25,False,75,False,,,
No Abbreviation,,347,91,"Statue Base for a Proconsul, Dedicated by the Demos",Base,Dedication,,50.0,50,0.0215,True,Greek,100,98,23,22,0,1,1,0,1,0,1,683,25,False,75,False,,,
Bronze Cuttings,,347,91,"Statue Base for a Proconsul, Dedicated by the Demos",Base,Dedication,,50.0,50,0.0215,True,Greek,100,98,23,22,0,1,1,0,1,0,1,683,25,False,75,False,,,
"Cuttings for Staff, Torch, or Other",,347,91,"Statue Base for a Proconsul, Dedicated by the Demos",Base,Dedication,,50.0,50,0.0215,True,Greek,100,98,23,22,0,1,1,0,1,0,1,683,25,False,75,False,,True,
Office(s) of Relative(s),,348,92,Statue Base for Diokles Themistokleous Hagnousios,Base,Dedication,,50.0,20,0.0200,,Greek,123,32,34,12,3,1,2,3,1,2,0,348,40,False,60,False,,,
Office(s) of Relative(s),,349,93,"Statue Base for Athenais, Daughter of Diokles Hagnousios",Stele,Dedication,Before the Telestrion,50.0,20,,,Greek,160,112,38,21,3,1,2,3,1,2,0,349,40,False,60,False,,,
Missing,,349,93,"Statue Base for Athenais, Daughter of Diokles Hagnousios",Stele,Dedication,Before the Telestrion,50.0,20,,,Greek,160,112,38,21,3,1,2,3,1,2,0,349,40,False,60,False,,,
