Feature: Type,Feature: Details,Inscription: IE,Inscription: Order,Inscription: Title,Inscription: Object Type,Inscription: Type,Inscription: Suspected Ancient Location,Inscription: Date (Avg.),Inscription: Date Span,Inscription: Letter Height (m),Inscription: Letter Height Averaged,Inscription: Language,Inscription: Character Count,Inscription: Diplomatic Character Count,Inscription: Word Count,Inscription: Diplomatic Word Count,Inscription: Total Institutions,Inscription: Total Honors,Inscription: Total People,Inscription: Total Sponsors,Inscription: Total Honorands,Inscription: Total Athenians,Inscription: Total Romans,Inscription: ID,Inscription: Low Date,Inscription: Low Date Uncertainty,Inscription: High Date,Inscription: High Date Uncertainty,Inscription: Notes,Feature: Uncertainty,Feature: Notes
"At Site, Moved in Modernity",,554,304,Fragmentary Inscription from an Architrave,Base,Other/Uncertain,,150.5,99,0.0330,,Greek,2,2,3,3,0,0,0,0,0,0,0,554,101,True,200,True,,,
"At Site, Moved in Modernity",,555,305,Fragment from an Architectural Block,Base,Other/Uncertain,,150.5,99,0.0750,,Greek,14,7,10,8,0,0,0,0,0,0,0,555,101,True,200,True,,,
"At Site, Moved in Modernity",,557,307,Statue Base for an Unknown Individual,Building or Monument,Dedication,,150.5,99,0.0430,,Greek,17,9,6,5,0,0,0,0,0,0,0,557,101,True,200,True,,,
Altered or Recut,,572,322,Statue Base(?) for an Unknown Individual,Column/Herm,Dedication,,150.5,99,0.0340,,Greek,28,5,16,5,2,0,0,2,0,0,0,572,101,True,200,True,,,
???' ?????????????,,574,324,Statue Base for an Unknown Individual,Base,Dedication,,150.5,99,0.0270,,Greek,43,11,11,5,1,0,0,1,0,0,0,574,101,True,200,True,,,
???? ?? ?????????,,577,327,Herm in Honor of an Unknown Individual,Base,Dedication,,150.5,99,0.0190,,Greek,29,13,12,6,1,0,0,1,0,0,0,577,101,True,200,True,,,
Removed from Site,,585,335,Statue Base for an Unknown Individual,Base,Dedication,,250.5,99,0.0135,True,Greek,113,78,36,24,0,0,0,0,0,0,0,585,201,False,300,False,,,
Beyond Immediate Family,,587,337,"Statue Base for T. Fl. Ateiemtos Son of T. Fl. Agathon of Peiraieus, Hearth-Initiate",Column/Herm,Dedication,,250.5,99,0.0300,,Greek,191,168,47,38,1,1,5,2,1,5,0,587,201,False,300,False,,,
???? ?? ?????????,,587,337,"Statue Base for T. Fl. Ateiemtos Son of T. Fl. Agathon of Peiraieus, Hearth-Initiate",Column/Herm,Dedication,,250.5,99,0.0300,,Greek,191,168,47,38,1,1,5,2,1,5,0,587,201,False,300,False,,,
Reused in Architecture,,587,337,"Statue Base for T. Fl. Ateiemtos Son of T. Fl. Agathon of Peiraieus, Hearth-Initiate",Column/Herm,Dedication,,250.5,99,0.0300,,Greek,191,168,47,38,1,1,5,2,1,5,0,587,201,False,300,False,,,
Filiation Symbol or Nomina Suprabar,,587,337,"Statue Base for T. Fl. Ateiemtos Son of T. Fl. Agathon of Peiraieus, Hearth-Initiate",Column/Herm,Dedication,,250.5,99,0.0300,,Greek,191,168,47,38,1,1,5,2,1,5,0,587,201,False,300,False,,,
Non-Standard Abbreviation,,587,337,"Statue Base for T. Fl. Ateiemtos Son of T. Fl. Agathon of Peiraieus, Hearth-Initiate",Column/Herm,Dedication,,250.5,99,0.0300,,Greek,191,168,47,38,1,1,5,2,1,5,0,587,201,False,300,False,,,
???? ?? ?????????,,588,338,"Statue Base for Sabeiniane Hamillo, Priestess of Athena Polias, Probably Not from the Sanctuary",Other/Fragment,Dedication,,250.5,99,0.0240,True,Greek,168,164,38,36,4,1,1,4,1,1,0,588,201,False,300,False,,,
???' ?????????????,,588,338,"Statue Base for Sabeiniane Hamillo, Priestess of Athena Polias, Probably Not from the Sanctuary",Other/Fragment,Dedication,,250.5,99,0.0240,True,Greek,168,164,38,36,4,1,1,4,1,1,0,588,201,False,300,False,,,
Reused in Architecture,,588,338,"Statue Base for Sabeiniane Hamillo, Priestess of Athena Polias, Probably Not from the Sanctuary",Other/Fragment,Dedication,,250.5,99,0.0240,True,Greek,168,164,38,36,4,1,1,4,1,1,0,588,201,False,300,False,,,
Outer Courtyard,,589,339,Base Dedicated by Philoi,Base,Other/Uncertain,Outer Courtyard,250.5,99,0.0155,True,Greek,26,22,12,11,1,0,3,1,0,3,0,589,201,False,300,False,,,
Missing,,589,339,Base Dedicated by Philoi,Base,Other/Uncertain,Outer Courtyard,250.5,99,0.0155,True,Greek,26,22,12,11,1,0,3,1,0,3,0,589,201,False,300,False,,,
Missing,,591,341,Statue Base for an Unknown Hearth-Initiate,Base,Dedication,,250.5,99,,,Greek,44,29,15,11,0,1,1,0,1,1,0,591,201,False,300,True,,,
Removed from Site,,591,341,Statue Base for an Unknown Hearth-Initiate,Base,Dedication,,250.5,99,,,Greek,44,29,15,11,0,1,1,0,1,1,0,591,201,False,300,True,,,
Missing,,597,347,Statue Base(?) for and Unknown Emperor,Base,Dedication,,250.5,99,,,Greek,24,6,8,3,0,1,1,0,1,0,1,597,201,False,300,True,,,
"At Site, Moved in Modernity",,612,362,Statue Base for an Unknown Individual,Other/Fragment,Dedication,,250.5,99,0.0570,,Greek,7,6,3,3,0,0,0,0,0,0,0,612,201,False,300,False,,,
Bronze Cuttings,,612,362,Statue Base for an Unknown Individual,Other/Fragment,Dedication,,250.5,99,0.0570,,Greek,7,6,3,3,0,0,0,0,0,0,0,612,201,False,300,False,,,
Removed from Site,,616,366,Statue Base(?) for an Unknown Individual,Base,Dedication,,250.5,99,0.0900,,Greek,6,5,6,5,0,0,0,0,0,0,0,616,201,False,300,True,,,
Child Size Cuttings,,621,371,"P. Ael. Herennia, Daughter of P. Ael. Apollonios, Hearth Initiate",Base,Dedication,,200.0,50,0.0160,,Greek,377,335,81,66,2,8,6,2,1,6,0,621,175,False,225,False,,,
Reused in Architecture,,621,371,"P. Ael. Herennia, Daughter of P. Ael. Apollonios, Hearth Initiate",Base,Dedication,,200.0,50,0.0160,,Greek,377,335,81,66,2,8,6,2,1,6,0,621,175,False,225,False,,,
Path to Telesterion,,621,371,"P. Ael. Herennia, Daughter of P. Ael. Apollonios, Hearth Initiate",Base,Dedication,,200.0,50,0.0160,,Greek,377,335,81,66,2,8,6,2,1,6,0,621,175,False,225,False,,,
Bronze Cuttings,,621,371,"P. Ael. Herennia, Daughter of P. Ael. Apollonios, Hearth Initiate",Base,Dedication,,200.0,50,0.0160,,Greek,377,335,81,66,2,8,6,2,1,6,0,621,175,False,225,False,,,
"Cuttings for Staff, Torch, or Other",,621,371,"P. Ael. Herennia, Daughter of P. Ael. Apollonios, Hearth Initiate",Base,Dedication,,200.0,50,0.0160,,Greek,377,335,81,66,2,8,6,2,1,6,0,621,175,False,225,False,,,
Office(s) of Relative(s),,621,371,"P. Ael. Herennia, Daughter of P. Ael. Apollonios, Hearth Initiate",Base,Dedication,,200.0,50,0.0160,,Greek,377,335,81,66,2,8,6,2,1,6,0,621,175,False,225,False,,,
Filiation Symbol or Nomina Suprabar,,621,371,"P. Ael. Herennia, Daughter of P. Ael. Apollonios, Hearth Initiate",Base,Dedication,,200.0,50,0.0160,,Greek,377,335,81,66,2,8,6,2,1,6,0,621,175,False,225,False,,,
Mix of Abbreviation Styles,,621,371,"P. Ael. Herennia, Daughter of P. Ael. Apollonios, Hearth Initiate",Base,Dedication,,200.0,50,0.0160,,Greek,377,335,81,66,2,8,6,2,1,6,0,621,175,False,225,False,,,
Famous Decent,,621,371,"P. Ael. Herennia, Daughter of P. Ael. Apollonios, Hearth Initiate",Base,Dedication,,200.0,50,0.0160,,Greek,377,335,81,66,2,8,6,2,1,6,0,621,175,False,225,False,,,
Beyond Immediate Family,,621,371,"P. Ael. Herennia, Daughter of P. Ael. Apollonios, Hearth Initiate",Base,Dedication,,200.0,50,0.0160,,Greek,377,335,81,66,2,8,6,2,1,6,0,621,175,False,225,False,,,
Office(s) of Relative(s),,622,372,"Statue Base for an Unknown Grandson of T. Kl. Sospis, Daduch",Base,Dedication,Upper Terrace,200.0,10,0.0200,,Greek,307,169,73,37,0,4,4,0,1,4,0,622,195,False,205,False,,,
Beyond Immediate Family,,622,372,"Statue Base for an Unknown Grandson of T. Kl. Sospis, Daduch",Base,Dedication,Upper Terrace,200.0,10,0.0200,,Greek,307,169,73,37,0,4,4,0,1,4,0,622,195,False,205,False,,,
Non-Standard Abbreviation,,622,372,"Statue Base for an Unknown Grandson of T. Kl. Sospis, Daduch",Base,Dedication,Upper Terrace,200.0,10,0.0200,,Greek,307,169,73,37,0,4,4,0,1,4,0,622,195,False,205,False,,,
Upper Terrace,,622,372,"Statue Base for an Unknown Grandson of T. Kl. Sospis, Daduch",Base,Dedication,Upper Terrace,200.0,10,0.0200,,Greek,307,169,73,37,0,4,4,0,1,4,0,622,195,False,205,False,,,
Altered or Recut,,622,372,"Statue Base for an Unknown Grandson of T. Kl. Sospis, Daduch",Base,Dedication,Upper Terrace,200.0,10,0.0200,,Greek,307,169,73,37,0,4,4,0,1,4,0,622,195,False,205,False,,,
Missing,,623,373,"Statue Base for a Sekoundos, Eumolpid",Base,Dedication,,200.0,10,,,Greek,79,62,22,15,2,1,2,1,1,1,1,623,195,False,205,False,,,
Front of Telesterion,,624,374,Statue Base for a M. Aur. Prosdektos Pistokratous Kephalethen,Base,Dedication,Before the Telestrion,200.0,10,0.0210,,Greek,237,228,42,39,2,3,2,1,1,2,0,624,195,False,205,False,,,
Missing,,624,374,Statue Base for a M. Aur. Prosdektos Pistokratous Kephalethen,Base,Dedication,Before the Telestrion,200.0,10,0.0210,,Greek,237,228,42,39,2,3,2,1,1,2,0,624,195,False,205,False,,,
Beyond Immediate Family,,625,375,"Statue Base for M. Gavius Gallicanus, Proconsul Asiae, Eumolpid",Base,Dedication,Upper Terrace,200.0,10,0.0525,True,Greek,109,41,35,16,1,2,3,0,1,0,3,625,195,False,205,False,,,
Standard Abbreviation,,625,375,"Statue Base for M. Gavius Gallicanus, Proconsul Asiae, Eumolpid",Base,Dedication,Upper Terrace,200.0,10,0.0525,True,Greek,109,41,35,16,1,2,3,0,1,0,3,625,195,False,205,False,,,
Coronae or Bucrania,,625,375,"Statue Base for M. Gavius Gallicanus, Proconsul Asiae, Eumolpid",Base,Dedication,Upper Terrace,200.0,10,0.0525,True,Greek,109,41,35,16,1,2,3,0,1,0,3,625,195,False,205,False,,,
Upper Terrace,,625,375,"Statue Base for M. Gavius Gallicanus, Proconsul Asiae, Eumolpid",Base,Dedication,Upper Terrace,200.0,10,0.0525,True,Greek,109,41,35,16,1,2,3,0,1,0,3,625,195,False,205,False,,,
"At Site, Moved in Modernity",,625,375,"Statue Base for M. Gavius Gallicanus, Proconsul Asiae, Eumolpid",Base,Dedication,Upper Terrace,200.0,10,0.0525,True,Greek,109,41,35,16,1,2,3,0,1,0,3,625,195,False,205,False,,,
Office(s) of Relative(s),,626,376,"Statue Base for the Sophist P. Herennius Ptolemais, Son of P. Herennius, Hierokeryx",Base,Dedication,North of the Telesterion,313.0,24,0.0220,,Greek,105,93,23,20,4,4,1,3,0,1,0,626,301,False,325,False,,,
Path to Telesterion,,626,376,"Statue Base for the Sophist P. Herennius Ptolemais, Son of P. Herennius, Hierokeryx",Base,Dedication,North of the Telesterion,313.0,24,0.0220,,Greek,105,93,23,20,4,4,1,3,0,1,0,626,301,False,325,False,,,
Non-Standard Abbreviation,,626,376,"Statue Base for the Sophist P. Herennius Ptolemais, Son of P. Herennius, Hierokeryx",Base,Dedication,North of the Telesterion,313.0,24,0.0220,,Greek,105,93,23,20,4,4,1,3,0,1,0,626,301,False,325,False,,,
No Abbreviation,,627,377,Statue Base for P. Herennius Ptolemaios of Hermos,Base,Dedication,,313.0,24,0.0320,,Greek,44,5,11,5,0,0,1,0,1,1,0,627,301,False,325,True,,,
Removed from Site,,628,378,"Statue Base for Xenagoras, Son of Xenagoras and Praxagora",Base,Verse,,313.0,24,0.0190,,Greek,65,64,15,15,0,1,3,2,1,3,0,628,301,False,325,False,,,
Unexpressed Nomina,,628,378,"Statue Base for Xenagoras, Son of Xenagoras and Praxagora",Base,Verse,,313.0,24,0.0190,,Greek,65,64,15,15,0,1,3,2,1,3,0,628,301,False,325,False,,,
"At Site, Moved in Modernity",,629,379,Statue Base for an Unknown Sister of Likinios Kallistomakhos,Base,Dedication,Before the Telestrion,205.0,10,0.0285,True,Greek,228,123,69,34,0,2,2,1,1,2,0,629,200,True,210,True,,,
Office(s) of Relative(s),,629,379,Statue Base for an Unknown Sister of Likinios Kallistomakhos,Base,Dedication,Before the Telestrion,205.0,10,0.0285,True,Greek,228,123,69,34,0,2,2,1,1,2,0,629,200,True,210,True,,,
Standard Abbreviation,,629,379,Statue Base for an Unknown Sister of Likinios Kallistomakhos,Base,Dedication,Before the Telestrion,205.0,10,0.0285,True,Greek,228,123,69,34,0,2,2,1,1,2,0,629,200,True,210,True,,,
Filiation Symbol or Nomina Suprabar,,629,379,Statue Base for an Unknown Sister of Likinios Kallistomakhos,Base,Dedication,Before the Telestrion,205.0,10,0.0285,True,Greek,228,123,69,34,0,2,2,1,1,2,0,629,200,True,210,True,,,
Front of Telesterion,,629,379,Statue Base for an Unknown Sister of Likinios Kallistomakhos,Base,Dedication,Before the Telestrion,205.0,10,0.0285,True,Greek,228,123,69,34,0,2,2,1,1,2,0,629,200,True,210,True,,,
"At Site, Moved in Modernity",,630,380,Statue Base for Ful. Plautianos,Base,Dedication,Before the Telestrion,204.0,2,0.0200,,Greek,206,124,51,30,3,4,4,3,1,1,3,630,203,False,205,False,,,
Standard Abbreviation,,630,380,Statue Base for Ful. Plautianos,Base,Dedication,Before the Telestrion,204.0,2,0.0200,,Greek,206,124,51,30,3,4,4,3,1,1,3,630,203,False,205,False,,,
Front of Telesterion,,630,380,Statue Base for Ful. Plautianos,Base,Dedication,Before the Telestrion,204.0,2,0.0200,,Greek,206,124,51,30,3,4,4,3,1,1,3,630,203,False,205,False,,,
Bronze Cuttings,,631,381,Statue Base for the Hierophant Apollinarios,Base,Dedication,Before the Telestrion,210.0,10,0.0450,,Greek,38,21,6,4,0,1,1,0,1,1,0,631,205,False,215,False,,,
"Cuttings for Staff, Torch, or Other",,631,381,Statue Base for the Hierophant Apollinarios,Base,Dedication,Before the Telestrion,210.0,10,0.0450,,Greek,38,21,6,4,0,1,1,0,1,1,0,631,205,False,215,False,,,
Oversized Cuttings,,631,381,Statue Base for the Hierophant Apollinarios,Base,Dedication,Before the Telestrion,210.0,10,0.0450,,Greek,38,21,6,4,0,1,1,0,1,1,0,631,205,False,215,False,,,
Front of Telesterion,,631,381,Statue Base for the Hierophant Apollinarios,Base,Dedication,Before the Telestrion,210.0,10,0.0450,,Greek,38,21,6,4,0,1,1,0,1,1,0,631,205,False,215,False,,,
Front of Telesterion,,632,382,"Statue Base for Kl. Menandra, Daughter of the Daduch Kl. Philippos",Base,Dedication,Before the Telestrion,210.0,10,0.0350,,Greek,173,162,45,41,3,1,5,3,1,5,0,632,205,False,215,True,,,
Office(s) of Relative(s),,632,382,"Statue Base for Kl. Menandra, Daughter of the Daduch Kl. Philippos",Base,Dedication,Before the Telestrion,210.0,10,0.0350,,Greek,173,162,45,41,3,1,5,3,1,5,0,632,205,False,215,True,,,
Mix of Abbreviation Styles,,632,382,"Statue Base for Kl. Menandra, Daughter of the Daduch Kl. Philippos",Base,Dedication,Before the Telestrion,210.0,10,0.0350,,Greek,173,162,45,41,3,1,5,3,1,5,0,632,205,False,215,True,,,
Non-Standard Abbreviation,,632,382,"Statue Base for Kl. Menandra, Daughter of the Daduch Kl. Philippos",Base,Dedication,Before the Telestrion,210.0,10,0.0350,,Greek,173,162,45,41,3,1,5,3,1,5,0,632,205,False,215,True,,,
Standard Abbreviation,,632,382,"Statue Base for Kl. Menandra, Daughter of the Daduch Kl. Philippos",Base,Dedication,Before the Telestrion,210.0,10,0.0350,,Greek,173,162,45,41,3,1,5,3,1,5,0,632,205,False,215,True,,,
No Abbreviation,,632,382,"Statue Base for Kl. Menandra, Daughter of the Daduch Kl. Philippos",Base,Dedication,Before the Telestrion,210.0,10,0.0350,,Greek,173,162,45,41,3,1,5,3,1,5,0,632,205,False,215,True,,,
Beyond Immediate Family,,632,382,"Statue Base for Kl. Menandra, Daughter of the Daduch Kl. Philippos",Base,Dedication,Before the Telestrion,210.0,10,0.0350,,Greek,173,162,45,41,3,1,5,3,1,5,0,632,205,False,215,True,,,
No Abbreviation,,633,383,"Statue Base for Rouphenia, Mother of Iul. the Hierokeryx",Base,Dedication,,217.5,15,0.0235,True,Greek,191,152,51,35,1,6,3,1,1,2,1,633,210,False,225,False,,,
Bronze Cuttings,,633,383,"Statue Base for Rouphenia, Mother of Iul. the Hierokeryx",Base,Dedication,,217.5,15,0.0235,True,Greek,191,152,51,35,1,6,3,1,1,2,1,633,210,False,225,False,,,
Bronze Cuttings,,634,384,"Statue Base for Ptolemaios, Son of Serenos of Gaza",Base,Dedication,,206.5,11,0.0350,,Greek,180,175,41,38,1,1,1,1,1,1,0,634,201,False,212,False,,,
?? ?????????? or ??? ??????????,,634,384,"Statue Base for Ptolemaios, Son of Serenos of Gaza",Base,Dedication,,206.5,11,0.0350,,Greek,180,175,41,38,1,1,1,1,1,1,0,634,201,False,212,False,,,
Full Size Cuttings,,634,384,"Statue Base for Ptolemaios, Son of Serenos of Gaza",Base,Dedication,,206.5,11,0.0350,,Greek,180,175,41,38,1,1,1,1,1,1,0,634,201,False,212,False,,,
?? ?????????? or ??? ??????????,,635,385,"Statue Base for Aur. Magna, Hearth-Initiate",Base,Dedication,,217.0,10,0.0280,,Greek,154,134,40,33,1,2,4,3,1,4,0,635,212,False,222,False,,,
Standard Abbreviation,,635,385,"Statue Base for Aur. Magna, Hearth-Initiate",Base,Dedication,,217.0,10,0.0280,,Greek,154,134,40,33,1,2,4,3,1,4,0,635,212,False,222,False,,,
Filiation Symbol or Nomina Suprabar,,635,385,"Statue Base for Aur. Magna, Hearth-Initiate",Base,Dedication,,217.0,10,0.0280,,Greek,154,134,40,33,1,2,4,3,1,4,0,635,212,False,222,False,,,
Filiation Symbol or Nomina Suprabar,,635,385,"Statue Base for Aur. Magna, Hearth-Initiate",Base,Dedication,,217.0,10,0.0280,,Greek,154,134,40,33,1,2,4,3,1,4,0,635,212,False,222,False,,,
Removed from Site,,635,385,"Statue Base for Aur. Magna, Hearth-Initiate",Base,Dedication,,217.0,10,0.0280,,Greek,154,134,40,33,1,2,4,3,1,4,0,635,212,False,222,False,,,
???' ?????????????,,635,385,"Statue Base for Aur. Magna, Hearth-Initiate",Base,Dedication,,217.0,10,0.0280,,Greek,154,134,40,33,1,2,4,3,1,4,0,635,212,False,222,False,,,
???? ?? ?????????,,635,385,"Statue Base for Aur. Magna, Hearth-Initiate",Base,Dedication,,217.0,10,0.0280,,Greek,154,134,40,33,1,2,4,3,1,4,0,635,212,False,222,False,,,
Filiation Symbol or Nomina Suprabar,,636,386,"Statue Base for Aur. Paramona, Daughter of Aur. Paramonos of Lamptrai, Heath-Initiate",Base,Dedication,,217.0,10,0.0225,True,Greek,145,95,40,23,1,1,2,1,1,2,0,636,212,False,222,False,,,
Standard Abbreviation,,636,386,"Statue Base for Aur. Paramona, Daughter of Aur. Paramonos of Lamptrai, Heath-Initiate",Base,Dedication,,217.0,10,0.0225,True,Greek,145,95,40,23,1,1,2,1,1,2,0,636,212,False,222,False,,,
No Abbreviation,,636,386,"Statue Base for Aur. Paramona, Daughter of Aur. Paramonos of Lamptrai, Heath-Initiate",Base,Dedication,,217.0,10,0.0225,True,Greek,145,95,40,23,1,1,2,1,1,2,0,636,212,False,222,False,,,
No Abbreviation,,636,386,"Statue Base for Aur. Paramona, Daughter of Aur. Paramonos of Lamptrai, Heath-Initiate",Base,Dedication,,217.0,10,0.0225,True,Greek,145,95,40,23,1,1,2,1,1,2,0,636,212,False,222,False,,,
?? ?????????? or ??? ??????????,,636,386,"Statue Base for Aur. Paramona, Daughter of Aur. Paramonos of Lamptrai, Heath-Initiate",Base,Dedication,,217.0,10,0.0225,True,Greek,145,95,40,23,1,1,2,1,1,2,0,636,212,False,222,False,,,
???? ?? ?????????,,636,386,"Statue Base for Aur. Paramona, Daughter of Aur. Paramonos of Lamptrai, Heath-Initiate",Base,Dedication,,217.0,10,0.0225,True,Greek,145,95,40,23,1,1,2,1,1,2,0,636,212,False,222,False,,,
???' ?????????????,,636,386,"Statue Base for Aur. Paramona, Daughter of Aur. Paramonos of Lamptrai, Heath-Initiate",Base,Dedication,,217.0,10,0.0225,True,Greek,145,95,40,23,1,1,2,1,1,2,0,636,212,False,222,False,,,
Front of Telesterion,,636,386,"Statue Base for Aur. Paramona, Daughter of Aur. Paramonos of Lamptrai, Heath-Initiate",Base,Dedication,,217.0,10,0.0225,True,Greek,145,95,40,23,1,1,2,1,1,2,0,636,212,False,222,False,,,
Mix of Abbreviation Styles,,636,386,"Statue Base for Aur. Paramona, Daughter of Aur. Paramonos of Lamptrai, Heath-Initiate",Base,Dedication,,217.0,10,0.0225,True,Greek,145,95,40,23,1,1,2,1,1,2,0,636,212,False,222,False,,,
Altered or Recut,,636,386,"Statue Base for Aur. Paramona, Daughter of Aur. Paramonos of Lamptrai, Heath-Initiate",Base,Dedication,,217.0,10,0.0225,True,Greek,145,95,40,23,1,1,2,1,1,2,0,636,212,False,222,False,,,
Oversized Cuttings,,637,387,"Statue Base for Apollonios, Son of Apollonios, Hierophant",Base,Verse,,215.0,10,0.0320,,Greek,0,0,1,1,0,1,1,0,1,1,0,699,210,False,220,False,,,
Bronze Cuttings,,637,387,"Statue Base for Apollonios, Son of Apollonios, Hierophant",Base,Verse,,215.0,10,0.0320,,Greek,0,0,1,1,0,1,1,0,1,1,0,699,210,False,220,False,,,
Reused in Architecture,,637,388,"Statue Base for Apollonios, Son of Apollonios, Hierophant",Base,Verse,,220.0,10,0.0320,,Greek,0,0,1,1,0,0,1,0,1,1,0,700,215,False,225,False,,,
Oversized Cuttings,,637,388,"Statue Base for Apollonios, Son of Apollonios, Hierophant",Base,Verse,,220.0,10,0.0320,,Greek,0,0,1,1,0,0,1,0,1,1,0,700,215,False,225,False,,,
Removed from Site,,638,389,Decree of the Athenians Concerning the Transport of the Sacred Objects,Base,Decree,South Wall,220.0,10,0.0180,,Greek,1749,1355,465,326,5,6,3,3,0,3,0,638,215,False,225,False,,,
Southern Wall,,638,389,Decree of the Athenians Concerning the Transport of the Sacred Objects,Base,Decree,South Wall,220.0,10,0.0180,,Greek,1749,1355,465,326,5,6,3,3,0,3,0,638,215,False,225,False,,,
Path to Telesterion,,639,390,"Statue Base for Honoratiane Polykharmis, Daughter of Honoratianos Polykharmos, Hearth-Initiate",Base,Dedication,North of the Telesterion,220.0,10,0.0250,,Greek,160,155,30,27,0,2,1,0,1,1,0,639,215,False,225,False,,,
Office(s) of Relative(s),,639,390,"Statue Base for Honoratiane Polykharmis, Daughter of Honoratianos Polykharmos, Hearth-Initiate",Base,Dedication,North of the Telesterion,220.0,10,0.0250,,Greek,160,155,30,27,0,2,1,0,1,1,0,639,215,False,225,False,,,
Beyond Immediate Family,,639,390,"Statue Base for Honoratiane Polykharmis, Daughter of Honoratianos Polykharmos, Hearth-Initiate",Base,Dedication,North of the Telesterion,220.0,10,0.0250,,Greek,160,155,30,27,0,2,1,0,1,1,0,639,215,False,225,False,,,
No Abbreviation,,639,390,"Statue Base for Honoratiane Polykharmis, Daughter of Honoratianos Polykharmos, Hearth-Initiate",Base,Dedication,North of the Telesterion,220.0,10,0.0250,,Greek,160,155,30,27,0,2,1,0,1,1,0,639,215,False,225,False,,,
Filiation Symbol or Nomina Suprabar,,639,390,"Statue Base for Honoratiane Polykharmis, Daughter of Honoratianos Polykharmos, Hearth-Initiate",Base,Dedication,North of the Telesterion,220.0,10,0.0250,,Greek,160,155,30,27,0,2,1,0,1,1,0,639,215,False,225,False,,,
Child Size Cuttings,,639,390,"Statue Base for Honoratiane Polykharmis, Daughter of Honoratianos Polykharmos, Hearth-Initiate",Base,Dedication,North of the Telesterion,220.0,10,0.0250,,Greek,160,155,30,27,0,2,1,0,1,1,0,639,215,False,225,False,,,
"Cuttings for Staff, Torch, or Other",,639,390,"Statue Base for Honoratiane Polykharmis, Daughter of Honoratianos Polykharmos, Hearth-Initiate",Base,Dedication,North of the Telesterion,220.0,10,0.0250,,Greek,160,155,30,27,0,2,1,0,1,1,0,639,215,False,225,False,,True,
Bronze Cuttings,,639,390,"Statue Base for Honoratiane Polykharmis, Daughter of Honoratianos Polykharmos, Hearth-Initiate",Base,Dedication,North of the Telesterion,220.0,10,0.0250,,Greek,160,155,30,27,0,2,1,0,1,1,0,639,215,False,225,False,,,
Reused in Architecture,,639,390,"Statue Base for Honoratiane Polykharmis, Daughter of Honoratianos Polykharmos, Hearth-Initiate",Base,Dedication,North of the Telesterion,220.0,10,0.0250,,Greek,160,155,30,27,0,2,1,0,1,1,0,639,215,False,225,False,,,
Beyond Immediate Family,,640,391,"Dedication Honoring an Unknown Fabius [-], Hearth Initiate",Base,Dedication,,237.5,25,0.0200,,Greek,228,132,74,44,0,6,5,0,1,4,0,640,225,False,250,True,,,
No Abbreviation,,640,391,"Dedication Honoring an Unknown Fabius [-], Hearth Initiate",Base,Dedication,,237.5,25,0.0200,,Greek,228,132,74,44,0,6,5,0,1,4,0,640,225,False,250,True,,,
Between Propylaea,,642,393,"Statue Base for Polyelos Xeinagorou, Hearth-Initiate",Stele,Dedication,Between the Propylaea,237.5,25,,,Greek,111,85,21,16,0,1,2,0,0,2,0,642,225,False,250,False,,,
Missing,,642,393,"Statue Base for Polyelos Xeinagorou, Hearth-Initiate",Stele,Dedication,Between the Propylaea,237.5,25,,,Greek,111,85,21,16,0,1,2,0,0,2,0,642,225,False,250,False,,,
Between Propylaea,,643,394,Edict by an Unknown Party,Base,Edict/Regulation,Between the Propylaea,230.0,10,0.0170,,Greek,134,90,51,34,0,0,0,0,0,0,0,643,225,True,235,True,,,
No Abbreviation,,644,395,Statue Base for M. Ulpios Eubiotos Leuros Gargettios,Base,Dedication,,230.0,10,0.0300,True,Greek,182,70,55,26,0,3,1,0,1,1,0,644,225,False,235,False,,,
Front of Telesterion,,645,396,"Statue Base for Kassianos, Hierokeryx",Base,Dedication,Before the Telestrion,236.0,10,0.0350,,Greek,119,115,21,19,3,6,1,3,1,1,0,645,231,False,241,False,,,
Famous Decent,,645,396,"Statue Base for Kassianos, Hierokeryx",Base,Dedication,Before the Telestrion,236.0,10,0.0350,,Greek,119,115,21,19,3,6,1,3,1,1,0,645,231,False,241,False,,,
Bronze Cuttings,,645,396,"Statue Base for Kassianos, Hierokeryx",Base,Dedication,Before the Telestrion,236.0,10,0.0350,,Greek,119,115,21,19,3,6,1,3,1,1,0,645,231,False,241,False,,,
"At Site, Moved in Modernity",,645,396,"Statue Base for Kassianos, Hierokeryx",Base,Dedication,Before the Telestrion,236.0,10,0.0350,,Greek,119,115,21,19,3,6,1,3,1,1,0,645,231,False,241,False,,,
Front of Telesterion,,646,397,"Statue Base for T. Fl. Gklaukos Glaukou Marathonios, Hierophant",Base,Verse,Before the Telestrion,235.0,10,0.0200,,Greek,211,209,41,40,0,1,1,0,1,1,0,646,230,False,240,False,,,
"Cuttings for Staff, Torch, or Other",,646,397,"Statue Base for T. Fl. Gklaukos Glaukou Marathonios, Hierophant",Base,Verse,Before the Telestrion,235.0,10,0.0200,,Greek,211,209,41,40,0,1,1,0,1,1,0,646,230,False,240,False,,,
Bronze Cuttings,,646,397,"Statue Base for T. Fl. Gklaukos Glaukou Marathonios, Hierophant",Base,Verse,Before the Telestrion,235.0,10,0.0200,,Greek,211,209,41,40,0,1,1,0,1,1,0,646,230,False,240,False,,,
