"ID","Label","Start","Stop","Class","Type","Origin","Gender","Athenian with Roman Citizenship","Family","Extended","Deme"
2359,"Kletos Epigonou",191,350.0,"Person","","Athenian","Male","FALSE","","","Pallene"
2149,"G. Caecilius Cassius",50,350.0,"Person","","Roman","Male","FALSE","","",""
2144,"Diokles Themistokles Hagnousios",50,350.0,"Person","","Athenian","Male","FALSE","Hagnous/Akharnid Daduchs","Hagnous/Akharnid Daduchs","Hagnous"
2227,"Kl. Attikou",115,350.0,"Person","","Athenian","Male","TRUE","Herodian","Herodian-Eukleid","Marathon"
2160,"Kl. [?] Asklepiodorou",55,350.0,"Person","","Athenian","Female","TRUE","","",""
2439,"Sabeiniane Hamillo",250.5,350.0,"Person","","Athenian","Female","TRUE","","",""
2233,"Athenaios Epaphrodeitos Athenaiou",119.5,350.0,"Person","","Athenian","Male","FALSE","","","Phlya"
2127,"[O?]knia Polykharmou",-6.5,350.0,"Person","","Athenian","Female","FALSE","","",""
2282,"[?] Emperor",175,350.0,"Person","","Other/Uncertain","Male","FALSE","","",""
2321,"M. Iul Apellas",170,350.0,"Person","","Athenian","Male","TRUE","","","Marathon"
2438,"Onesimou Besaieus",250.5,350.0,"Person","","Athenian","Male","FALSE","","",""
2212,"T. [?]",100.5,350.0,"Person","","Athenian","Uncertain","TRUE","","",""
1017,"Lykomidai",,350.0,"Institution","Genos","Athenian","","","","",""
2313,"T. Fl. Straton II",166,350.0,"Person","","Athenian","Male","TRUE","","","Paiania"
2307,"Fl. Herakleitos",167,350.0,"Person","","Athenian","Male","TRUE","","",""
2324,"Fl. Polla",170,350.0,"Person","","Athenian","Female","TRUE","","",""
2006,"[?] Heath-Initiate",-87.5,350.0,"Person","","Athenian","Uncertain","FALSE","","",""
2404,"T. Fl. Leosthenes II",187.5,350.0,"Person","","Athenian","Male","TRUE","","","Paiania"
2074,"Diokles Diokleous",-25,350.0,"Person","","Athenian","Male","FALSE","","","Melite"
2009,"Dionysios Dionysiou",-85,350.0,"Person","","Athenian","Male","FALSE","","","Sphettos"
2395,"Diokles",187.5,350.0,"Person","","Athenian","Male","FALSE","","","Phaleron"
2316,"Pompeia Polla",166,350.0,"Person","","Athenian","Female","TRUE","","",""
2204,"Antio Metrodorou",100.5,350.0,"Person","","Athenian","Male","FALSE","","","Kydathenaion"
