Inscription ID,Feature,Details,Uncertain,Notes
693,No Abbreviation,,,
693,Southern Wall,,,
694,No Abbreviation,,,
694,Southern Wall,,,
695,Unexpressed Nomina,,,
695,Part of Praenomen Dropped,,,
696,Part of Praenomen Dropped,,,
697,No Abbreviation,,,
698,No Abbreviation,,,
699,Oversized Cuttings,,,
699,Bronze Cuttings,,,
700,Oversized Cuttings,,,
700,Reused in Architecture,,,
701,No Abbreviation,,,
701,Between Propylaea,,,
702,No Abbreviation,,,
702,Between Propylaea,,,
703,"At Site, Moved in Modernity",,,
