ID,Name,Origin,Gender,Athenian Citizen,Roman Citizen,Family,Extended,Praenomen,Nomen,Cognomen,Onomos,Patronym,Demotic,Genos,Uncertain Person,RCA,PA,PAA,LGPN,Notes
2345,Praxagora Demostratou,Athens,Female,TRUE,FALSE,Praxagorid-Demostratid-Leonid,Claudii of Melite,,,,Praxagora,Demostratou,,,FALSE,,,,,Daughter of Aeilia Philiste and T. Kl. Demostratos (160). Mother of Xenagoras
2346,T. Kl. Demostratos Sospidou,Athens,Male,TRUE,TRUE,Demostratid-Leonid,Claudii of Melite,Tiberius,Claudius,,Demostratos,Sospidou,Melite,,FALSE,Claudius 160,,,,This is the Demostratos who was involved in the civil suit against Herodes Atticus before Marus Aurelius
2347,Ail. Philiste Praxagorou,Athens,Female,TRUE,TRUE,Demostratid-Leonid,Claudii of Melite,,Aelia,,Philiste,Praxagorou,Melite,,FALSE,,,,,This is Aelia Philiste who marries T. Kl. Demostratos  (160) and forms Praxagoris-Demostratid branch (with links through Demostratid-Leonid line too)
2348,Io. Hierophantes,Athens,Male,TRUE,TRUE,,TBD,,Iulius,,,,,,FALSE,,,,,
2349,Aiolion Phlyeos,Athens,Male,TRUE,TRUE,,,,,,Aiolion,,Phyle,,FALSE,,,,,
2350,Ail. Leu. Palleneus,Athens,Male,TRUE,TRUE,,TBD,,Aelius,,,Palleneus,,,FALSE,,,,,
2351,Demosthenes Anthou,Athens,Male,TRUE,FALSE,,,,,,Demosthenes,Anthou,,,FALSE,,,,,
2352,Attikos Anthou,Athens,Male,TRUE,FALSE,,,,,,Attikos,Anthou,,,FALSE,,,,,
2353,[.]iteles,Athens,Male,FALSE,FALSE,,,,,,,,,,TRUE,,,,,
2354,Lo[.],Athens,Male,FALSE,FALSE,,,,,,,,,,TRUE,,,,,
2355,Ai. F[.],Athens,Male,FALSE,FALSE,,,,,,,,,,TRUE,,,,,
2356,Hiero[.],Athens,Male,FALSE,FALSE,,,,,,,,,,TRUE,,,,,
2357,Kl. M[.],Athens,Male,FALSE,FALSE,,,,Claudius,,,,,,TRUE,,,,,
2358,Arist[.],Athens,Male,FALSE,FALSE,,,,,,,,,,TRUE,,,,,
2359,Kletos Epigonou,Athens,Male,TRUE,FALSE,,,,,,Kletos,Epigonou,,,FALSE,,,,,
2360,Dionysios Glaukou,Athens,Male,TRUE,FALSE,,,,,,Dionysios,Glaukou,,,FALSE,,,,,
2361,Kl. Nikephoros,Athens,Male,TRUE,TRUE,,,,Claudius,,Nikephoros,,,,FALSE,,,,,
2362,Megalinos Aphrodisiou,Athens,Male,TRUE,FALSE,,,,,,Megalinos,Aphrodisiou,,,FALSE,,,,,
2363,Khaireas Diogenous,Athens,Male,TRUE,FALSE,,,,,,Khaireas,Diogenous,,,FALSE,,,,,
